First Image Number,First Object Number,Second Image Number,Second Object Number,Center_X_First,Center_Y_First,Center_X_Second,Center_Y_Second,Distance,Speed_per_Hour,Acceleration
3,14,4,7,1155.565868263473,33.631736526946106,1154.061320754717,27.04009433962264,6.76116927253021,6.76116927253021,0.19390079283509287
4,14,5,12,1028.116322701689,40.20262664165103,1011.722807017544,33.449122807017545,17.730120431929183,17.730120431929183,10.968951159398973
5,14,6,9,660.1424870466321,43.72020725388601,663.1162790697674,36.604651162790695,7.711976237151319,7.711976237151319,-10.018144194777864
6,14,7,12,1091.4804630969609,36.58176555716353,1094.0626029654036,51.02471169686985,14.671950773317741,14.671950773317741,6.959974536166422
7,14,8,16,673.4988066825775,58.96420047732697,701.7618181818182,63.525454545454544,28.628706881034965,28.628706881034965,13.956756107717224
8,14,9,6,892.4732824427481,49.4147582697201,907.375,58.24166666666667,17.319800749552396,17.319800749552396,-11.30890613148257
9,14,10,14,1000.8118811881188,115.04950495049503,999.9497206703912,110.32960893854748,4.797993239045544,4.797993239045544,-12.521807510506852
11,14,12,27,526.9055118110236,147.29133858267716,522.7715736040609,145.41624365482232,4.539320002759579,4.539320002759579,-0.25867323628596495
13,14,14,15,986.157608695652,121.06521739130434,984.0689655172414,117.49655172413792,4.134949210175819,4.134949210175819,-0.4043707925837605
14,14,15,15,726.7016806722689,111.31932773109244,720.1822222222222,112.48444444444443,6.622751349523687,6.622751349523687,2.4878021393478686
15,14,16,14,1076.3589743589744,110.08547008547008,1074.8317757009345,106.25233644859811,4.1261664071190935,4.1261664071190935,-2.496584942404594
16,14,17,16,1074.8317757009345,106.25233644859811,1072.5311871227364,103.97183098591547,3.2393537891778754,3.2393537891778754,-0.8868126179412181
17,14,18,9,1005.8388888888888,82.06666666666666,1003.0205278592376,68.34017595307918,14.01284076137526,14.01284076137526,10.773486972197386
18,14,19,20,819.8913857677902,105.89513108614231,818.9870689655172,110.8146551724138,5.00195023108772,5.00195023108772,-9.01089053028754
19,14,20,9,1002.5142857142856,79.72207792207791,1005.4295532646048,61.302405498281786,18.648944128016996,18.648944128016996,13.646993896929276
19,14,20,13,1002.5142857142856,79.72207792207791,1020.2409972299168,89.3573407202216,20.17608957027363,20.17608957027363,1.5271454422566322
20,14,21,14,979.022792022792,94.87749287749288,969.332075471698,93.75849056603774,9.755109094556055,9.755109094556055,-10.420980475717574
21,14,22,17,969.332075471698,93.75849056603774,973.154761904762,79.98015873015873,14.298788750979185,14.298788750979185,4.54367965642313
21,14,22,21,969.332075471698,93.75849056603774,964.7215189873418,98.94303797468356,6.938066223951362,6.938066223951362,-7.360722527027822
22,14,23,14,343.0764525993884,72.1559633027523,337.81290322580645,65.65161290322581,8.367289054882432,8.367289054882432,1.42922283093107
23,14,24,9,337.81290322580645,65.65161290322581,331.45394736842104,58.35855263157895,9.676003706182112,9.676003706182112,1.3087146512996792
24,14,25,17,1126.9021739130435,88.8695652173913,1120.657004830918,90.7391304347826,6.519003832367082,6.519003832367082,-3.15699987381503
25,14,26,11,331.7591463414634,56.64634146341464,335.3949044585987,64.95222929936305,9.066780565871829,9.066780565871829,2.5477767335047474
26,14,27,19,1163.609929078014,81.80141843971631,1153.578947368421,79.69736842105263,10.249274146944531,10.249274146944531,1.182493581072702
27,14,28,10,1112.9190751445087,51.14450867052023,1121.5258215962442,36.568075117370896,16.927743488540912,16.927743488540912,6.678469341596381
28,14,29,13,1023.9340277777778,62.99652777777778,1031.0804597701149,59.71647509578544,7.863220448247888,7.863220448247888,-9.064523040293025
29,14,30,11,998.7773109243698,69.65756302521008,1002.4538834951456,74.57038834951456,6.136207178323506,6.136207178323506,-1.7270132699243819
30,14,31,19,829.798418972332,90.85375494071148,835.6831683168317,93.23762376237624,6.349260225136083,6.349260225136083,0.2130530468125773
31,14,32,15,949.1318051575932,68.59885386819484,944.0963855421688,72.26204819277109,6.226912827638479,6.226912827638479,-0.12234739749760415
32,14,33,14,630.7722602739726,67.77397260273973,642.295665634675,72.39318885448917,12.414750496384904,12.414750496384904,6.187837668746425
33,14,34,12,642.295665634675,72.39318885448917,644.4932203389831,72.02033898305085,2.2289602295820155,2.2289602295820155,-10.18579026680289
